1,285,16,308
2,1,23,463
3,1,48,212
4,1,13,452
5,1,76,174
6,1,91,88
7,1,9,455
8,1,83,356
9,1,40,340
10,1,37,381
11,1,77,396
12,2,4,31
13,2,67,36
14,2,99,86
15,2,25,64
16,2,61,495
17,2,24,324
18,2,75,453
19,3,46,239
20,3,7,349
21,3,84,280
22,3,44,175
23,3,48,328
24,3,9,97
25,3,78,423
26,3,4,237
27,3,60,387
28,3,30,400
29,3,30,421
30,3,75,287
31,4,69,250
32,4,14,166
33,4,95,224
34,4,9,105
35,4,97,384
36,4,9,224
37,4,8,332
38,5,34,180
39,5,80,52
40,5,21,130
41,5,62,376
42,5,25,291
43,5,84,387
44,5,95,211
45,5,39,280
46,5,29,250
47,6,41,181
48,6,45,207
49,6,6,494
50,6,75,38
51,6,95,340
52,6,99,346
53,6,59,212
54,6,37,225
55,6,64,167
56,6,28,333
57,6,15,342
58,7,68,363
59,7,92,81
60,7,58,216
61,7,8,24
62,7,42,497
63,7,29,143
64,7,99,232
65,7,72,321
66,7,9,100
67,7,77,460
68,7,33,253
69,8,37,314
70,8,85,468
71,8,33,220
72,8,77,471
73,8,88,351
74,8,19,281
75,8,22,320
76,8,53,199
77,8,99,495
78,8,69,175
79,8,46,9
80,9,30,252
81,9,41,342
82,9,69,160
83,9,9,330
84,9,63,380
85,9,4,230
86,9,79,267
87,9,94,75
88,9,65,84
89,9,22,90
90,9,87,200
91,9,78,178
92,9,80,131
93,10,5,331
94,10,71,167
95,10,25,492
96,10,6,393
97,10,59,303
98,10,31,223
99,10,61,472
100,10,10,112
101,10,8,463
102,10,62,90
103,11,20,322
104,11,13,460
105,11,88,138
106,11,58,309
107,11,95,478
108,11,7,347
109,11,38,230
110,12,29,263
111,12,32,314
112,12,50,190
113,12,70,210
114,12,84,136
115,12,84,295
116,12,6,273
117,12,95,288
118,12,82,318
119,12,96,439
120,13,47,272
121,13,88,151
122,13,5,220
123,13,77,354
124,13,28,123
125,13,51,64
126,13,80,153
127,13,30,63
128,13,75,15
129,13,54,32
130,14,76,357
131,14,8,188
132,14,48,201
133,14,97,81
134,14,4,84
135,14,25,384
136,14,28,90
137,14,30,337
138,15,24,75
139,15,26,319
140,15,10,36
141,15,52,218
142,15,16,10
143,15,78,128
144,15,37,19
145,15,39,485
146,15,5,450
147,15,8,370
148,16,6,97
149,16,30,127
150,16,34,337
151,16,20,340
152,16,99,218
153,16,97,437
154,16,98,431
155,16,27,462
156,16,8,129
157,16,62,251
158,16,38,424
159,16,83,119
160,16,69,354
161,17,29,186
162,17,67,426
163,17,19,323
164,17,4,383
165,17,60,104
166,17,81,231
167,17,41,104
168,17,81,389
169,17,38,411
170,17,19,190
171,18,35,229
172,18,58,121
173,18,8,207
174,18,50,322
175,18,73,203
176,18,65,363
177,18,6,336
178,18,62,162
179,19,55,254
180,19,60,464
181,19,87,231
182,19,24,47
183,19,6,28
184,19,83,391
185,19,99,9
186,19,42,146
187,19,15,263
188,19,46,30
189,20,54,233
190,20,5,29
191,20,35,354
192,20,14,82
193,20,61,417
194,20,77,78
195,20,44,402
196,20,30,170
197,20,94,294
198,21,37,204
199,21,70,500
200,21,58,434
201,21,57,120
202,21,64,229
203,21,98,90
204,21,65,142
205,21,57,5
206,21,18,209
207,21,75,249
208,21,11,470
209,21,77,492
210,21,25,362
211,22,89,454
212,23,66,417
213,23,65,386
214,23,99,442
215,23,26,473
216,23,93,250
217,23,67,498
218,24,39,475
219,24,41,217
220,24,75,104
221,24,44,126
222,24,72,491
223,24,50,56
224,24,57,475
225,24,63,181
226,24,17,307
227,24,56,170
228,24,6,59
229,25,55,359
230,25,61,54
