1,18,2025-01-02,6,pending_approval
2,17,2025-01-01,1,new
3,71,2025-01-01,8,new
4,71,2025-01-01,5,pending_approval
5,73,2025-01-01,4,completed
6,26,2025-01-01,7,in_progress
7,5,2025-01-01,7,approved
8,56,2025-01-01,6,completed
9,31,2025-01-01,2,pending_approval
10,61,2025-01-02,3,new
11,61,2025-01-02,4,in_progress
12,46,2025-01-02,6,completed
13,57,2025-01-02,8,completed
14,8,2025-01-02,2,in_progress
15,6,2025-01-02,7,approved
16,29,2025-01-02,3,in_progress
17,31,2025-01-02,7,in_progress
18,22,2025-01-02,3,pending_approval
19,2,2025-01-02,2,new
20,5,2025-01-02,8,in_progress
21,42,2025-01-02,3,approved
22,19,2025-01-02,8,in_progress
23,63,2025-01-02,7,pending_approval
24,52,2025-01-02,1,approved
25,35,2025-01-03,5,completed
26,25,2025-01-03,7,pending_approval
27,41,2025-01-03,1,completed
28,7,2025-01-03,3,new
29,63,2025-01-03,3,in_progress
30,70,2025-01-03,1,new
31,5,2025-01-03,7,pending_approval
32,71,2025-01-03,7,pending_approval
33,4,2025-01-03,8,pending_approval
34,49,2025-01-03,3,new
35,6,2025-01-03,1,in_progress
36,74,2025-01-03,5,completed
37,64,2025-01-04,1,pending_approval
38,9,2025-01-04,8,new
39,29,2025-01-04,5,approved
40,76,2025-01-04,1,in_progress
41,29,2025-01-04,7,in_progress
42,63,2025-01-04,7,completed
43,73,2025-01-04,8,completed
44,6,2025-01-04,7,new
45,83,2025-01-04,1,new
46,18,2025-01-04,2,new
47,72,2025-01-04,1,completed
48,58,2025-01-04,1,completed
49,22,2025-01-05,3,approved
50,1,2025-01-05,6,pending_approval
51,27,2025-01-06,8,approved
52,48,2025-01-06,2,approved
53,1,2025-01-06,7,new
54,37,2025-01-06,6,in_progress
55,9,2025-01-06,6,pending_approval
56,49,2025-01-06,5,completed
57,64,2025-01-06,6,approved
58,40,2025-01-06,7,completed
59,54,2025-01-06,6,completed
60,42,2025-01-06,3,pending_approval
61,27,2025-01-06,4,pending_approval
62,64,2025-01-06,3,approved
63,76,2025-01-07,2,new
64,9,2025-01-07,3,completed
65,36,2025-01-07,7,new
66,45,2025-01-07,1,in_progress
67,23,2025-01-07,6,approved
68,11,2025-01-07,7,approved
69,22,2025-01-07,7,completed
70,55,2025-01-07,8,approved
71,63,2025-01-07,5,completed
72,44,2025-01-07,8,new
73,57,2025-01-07,5,in_progress
74,7,2025-01-07,7,approved
75,26,2025-01-08,6,in_progress
76,63,2025-01-08,5,new
77,38,2025-01-08,8,approved
78,76,2025-01-08,6,approved
79,78,2025-01-08,6,completed
80,29,2025-01-08,5,completed
81,73,2025-01-08,6,approved
82,1,2025-01-08,3,in_progress
83,68,2025-01-08,5,approved
84,29,2025-01-08,7,completed
85,74,2025-01-08,2,in_progress
86,67,2025-01-08,6,in_progress
87,4,2025-01-09,5,pending_approval
88,38,2025-01-09,1,completed
89,73,2025-01-09,6,in_progress
90,29,2025-01-09,7,completed
91,40,2025-01-09,1,completed
92,73,2025-01-09,3,in_progress
93,57,2025-01-09,5,completed
94,18,2025-01-09,2,in_progress
95,74,2025-01-09,2,pending_approval
96,56,2025-01-09,2,pending_approval
97,21,2025-01-09,5,pending_approval
98,78,2025-01-09,2,approved
99,18,2025-01-10,3,completed
100,63,2025-01-10,5,approved
101,61,2025-01-10,3,new
102,18,2025-01-10,4,pending_approval
103,72,2025-01-10,2,new
104,34,2025-01-10,7,in_progress
105,37,2025-01-10,5,new
106,33,2025-01-10,3,completed
107,7,2025-01-10,4,approved
108,74,2025-01-10,3,pending_approval
109,79,2025-01-10,6,in_progress
110,12,2025-01-10,6,new
111,2,2025-01-11,8,approved
112,16,2025-01-11,3,in_progress
113,75,2025-01-11,1,new
114,8,2025-01-11,1,approved
115,74,2025-01-11,6,pending_approval
116,70,2025-01-11,7,in_progress
117,52,2025-01-11,7,approved
118,8,2025-01-11,7,completed
